時間戳記,年紀,性別,Mincraft內建【可以】將 2D 變成 3D 的功能，能幫助你了解元宇宙的意義,Mincraft【沒有】內建將 2D 變成 3D 的功能，也能幫助你了解元宇宙的意義,【搭配】3D浮影裝置，能幫助你創造元宇宙,【沒有】3D浮影裝置，也能幫助你創造元宇宙,【使用】NFT上架作品，能幫助你體會元宇宙的價值交換及所有權的意義,【沒有】NFT上架作品，也能幫助你體會元宇宙的價值交換及所有權的意義,你覺得元宇宙是甚麼？
11/13/2022 11:19:32,12,女,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,就是人類打造的宇宙
11/13/2022 11:19:40,12,女,堅決同意,同意,同意,同意,同意,同意,人類打造的宇宙
11/13/2022 11:20:32,12,男,同意,同意,同意,同意,同意,同意,人類打造的宇宙
11/13/2022 11:21:35,9歲,女,同意,同意,同意,同意,同意,同意,有無限的可能
11/13/2022 11:23:39,13,男,堅決同意,堅決同意,堅決同意,同意,堅決同意,不同意,虛擬世界
11/13/2022 11:23:39,13,男,同意,不同意,同意,不同意,同意,不同意,某種虛擬世界
11/13/2022 11:25:30,9,女,同意,同意,同意,既不同意也不反對,既不同意也不反對,堅決同意,夢想世界
11/13/2022 11:27:03,12,男,同意,同意,同意,同意,同意,既不同意也不反對,"一個虛擬的地方
"
11/13/2022 11:27:10,9,女,同意,同意,同意,既不同意也不反對,既不同意也不反對,同意,奇特世界
11/13/2022 11:27:16,12,男,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,是一個東西
11/13/2022 11:29:27,9,男,同意,不同意,同意,既不同意也不反對,同意,不同意,想像的世界
11/13/2022 11:29:39,13,男,同意,既不同意也不反對,同意,不同意,堅決同意,既不同意也不反對,由使用者創造的世界，擁有高度的自由
11/13/2022 11:38:09,12,男,同意,同意,同意,同意,同意,同意,不太清楚
11/13/2022 11:39:20,12,男,同意,堅決同意,同意,同意,堅決同意,既不同意也不反對,是人類造的宇宙
11/13/2022 11:43:32,13,男,堅決同意,強烈反對,堅決同意,堅決同意,堅決同意,堅決同意,虛擬世界
11/13/2022 15:23:58,12,女,同意,同意,同意,同意,同意,同意,虛擬世界
11/13/2022 15:24:06,9,男,同意,同意,同意,同意,同意,既不同意也不反對,有趣的體驗
11/13/2022 15:24:42,11,女,同意,同意,同意,同意,同意,同意,虛擬世界
11/13/2022 15:24:50,10,女,同意,同意,同意,同意,同意,同意,"人創造的宇宙
"
11/13/2022 15:25:00,11,女,同意,同意,同意,同意,同意,同意,自行想像
11/13/2022 15:25:22,11,女,堅決同意,強烈反對,堅決同意,強烈反對,堅決同意,強烈反對,虛擬立體的世界
11/13/2022 15:25:27,10,男,同意,同意,堅決同意,同意,同意,同意,不知道
11/13/2022 15:25:47,16,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,一個全新能夠展現自我的網路世界
11/13/2022 15:26:05,13,男,同意,既不同意也不反對,同意,同意,同意,既不同意也不反對,人們想像與創創造力的匯聚中心
11/13/2022 15:26:39,25,女,同意,不同意,同意,既不同意也不反對,同意,同意,虛擬世界
11/13/2022 15:34:51,13,女,同意,同意,同意,既不同意也不反對,同意,既不同意也不反對,不知道
11/13/2022 15:35:06,10,男,同意,同意,同意,同意,同意,同意,不知道
